Model,Test_Accuracy,Macro_F1,Cohen_Kappa,Test_NLL,Test_Brier,Test_ECE,Mean_AU,Mean_EU,Mean_TU
AlexNet_CNN,0.9994804809262283,0.9989244889559838,0.9993741482276686,0.0015514798324969712,0.0007639509124735289,0.0005383794759277847,0.0031835082918405533,0.00027990108355879784,0.0034634096082299948
GFNet,0.9999257829894612,0.9998136737701507,0.9999105961705329,0.0012463549818028674,0.0002783389623474388,0.0009749657112960736,0.007062746211886406,1.1088519613622339e-06,0.007063854485750198
ViT_UNet,0.9978477066943744,0.9965033072622065,0.9974071374608717,0.04059596322322891,0.004743752003709026,0.03291026674818175,0.21300919353961945,0.00024190374824684113,0.21325111389160156
