model,capacity_tag,test_accuracy,kappa,macro_f1,weighted_f1,val_nll,test_nll,val_brier,test_brier,test_ece_15bin,epochs_configured,epochs_ran,train_time_sec,best_model_path,final_model_path
GFNet,legacy_arch,0.9999257829894612,0.9999105961705329,0.9998136737701507,0.9999257451832994,0.007947924362124414,0.008106300741815049,0.00013942152948862152,0.00022818487861826534,0.007952897975472044,100,100,1130.2998793399997,/kaggle/working/models/GFNet_best.keras,/kaggle/working/models/GFNet_final.keras
ViT_UNet,legacy_arch,0.9993320469051507,0.9991954066321567,0.9990159625730481,0.9993325262204305,0.04282111958386762,0.04173323245097391,0.0031020371728503766,0.002701069443341945,0.03891381961762844,100,100,2168.4684350519997,/kaggle/working/models/ViT_UNet_best.keras,/kaggle/working/models/ViT_UNet_final.keras
AlexNet_CNN,legacy_arch,0.9992578298946119,0.999105915989467,0.9983233745536122,0.999255974726486,0.0025646521673203223,0.0025646521673203223,0.001327359502401775,0.001327359502401775,0.0004946586948412895,100,100,1132.121482828,/kaggle/working/models/AlexNet_CNN_best.keras,/kaggle/working/models/AlexNet_CNN_final.keras
